year,league,role,age_group,weight,share
1941,MLB,batting,36+,3081.0,0.031932755690062604
1942,MLB,batting,<=23,12337.0,0.13133409981263838
1942,MLB,batting,24-26,29046.0,0.3092105263157895
1942,MLB,batting,27-29,20200.0,0.21504002725259752
1942,MLB,batting,30-32,17447.0,0.1857328393800034
1942,MLB,batting,33-35,10665.0,0.11353474706182932
1942,MLB,batting,36+,4241.0,0.04514776017714189
1943,MLB,batting,<=23,7920.0,0.08330528441602154
1943,MLB,batting,24-26,26899.0,0.2829329350387075
1943,MLB,batting,27-29,25465.0,0.2678496297542915
1943,MLB,batting,30-32,16411.0,0.1726165432514305
1943,MLB,batting,33-35,12025.0,0.126483086502861
1943,MLB,batting,36+,6352.0,0.06681252103668799
1944,MLB,batting,<=23,7652.0,0.0800108744523563
1944,MLB,batting,24-26,15451.0,0.16155881092045965
1944,MLB,batting,27-29,31757.0,0.33205767642230516
1944,MLB,batting,30-32,17560.0,0.1836109455545448
1944,MLB,batting,33-35,15012.0,0.15696853728159604
1944,MLB,batting,36+,8205.0,0.08579315536873804
1945,MLB,batting,<=23,8145.0,0.08592859855677934
1945,MLB,batting,24-26,12926.0,0.13636747267586613
1945,MLB,batting,27-29,27002.0,0.2848672827784108
1945,MLB,batting,30-32,21432.0,0.22610457019875935
1945,MLB,batting,33-35,15175.0,0.1600941047389965
1945,MLB,batting,36+,10108.0,0.10663797105118791
1946,MLB,batting,<=23,6677.0,0.07023172155546907
1946,MLB,batting,24-26,16170.0,0.17008341134520516
1946,MLB,batting,27-29,31902.0,0.3355597395630634
1946,MLB,batting,30-32,23698.0,0.24926633778965193
1946,MLB,batting,33-35,10286.0,0.10819282431025234
1946,MLB,batting,36+,6338.0,0.0666659654363581
1947,MLB,batting,<=23,6517.0,0.06832955879885926
1947,MLB,batting,24-26,19626.0,0.20577503774534475
1947,MLB,batting,27-29,26758.0,0.28055275960409326
1947,MLB,batting,30-32,26825.0,0.2812552424089918
1947,MLB,batting,33-35,9771.0,0.10244715651736286
1947,MLB,batting,36+,5879.0,0.061640244925348094
1948,MLB,batting,<=23,11650.0,0.12161767162184733
1948,MLB,batting,24-26,17181.0,0.179357357608151
1948,MLB,batting,27-29,27523.0,0.2873204442959746
1948,MLB,batting,30-32,24649.0,0.25731793886754634
1948,MLB,batting,33-35,10576.0,0.11040587940537833
1948,MLB,batting,36+,4213.0,0.043980708201102385
1949,MLB,batting,<=23,11440.0,0.1189312818380289
1949,MLB,batting,24-26,17678.0,0.1837820979311779
1949,MLB,batting,27-29,26584.0,0.2763696849984406
1949,MLB,batting,30-32,26195.0,0.27232560557230484
1949,MLB,batting,33-35,10441.0,0.10854558685934089
1949,MLB,batting,36+,3852.0,0.040045742800706934
1950,MLB,batting,<=23,11795.0,0.12227486186413443
1950,MLB,batting,24-26,20734.0,0.2149425168199206
1950,MLB,batting,27-29,28869.0,0.2992753698309196
1950,MLB,batting,30-32,17886.0,0.18541824326425677
1950,MLB,batting,33-35,15226.0,0.15784290349667748
1950,MLB,batting,36+,1953.0,0.020246104724091104
1951,MLB,batting,<=23,6486.0,0.06756390758140794
1951,MLB,batting,24-26,24693.0,0.25722410883560076
1951,MLB,batting,27-29,24738.0,0.2576928686014292
1951,MLB,batting,30-32,22664.0,0.23608825183857998
1951,MLB,batting,33-35,14249.0,0.14843017562865893
1951,MLB,batting,36+,3168.0,0.03300068751432322
1952,MLB,batting,<=23,7531.0,0.07943422495991899
1952,MLB,batting,24-26,23421.0,0.2470361150957725
1952,MLB,batting,27-29,26053.0,0.2747974854442663
1952,MLB,batting,30-32,21661.0,0.22847228082018395
1952,MLB,batting,33-35,12326.0,0.1300101257277867
1952,MLB,batting,36+,3816.0,0.04024976795207155
1953,MLB,batting,<=23,8204.0,0.08598589261196297
1953,MLB,batting,24-26,26157.0,0.274150779260253
1953,MLB,batting,27-29,25564.0,0.2679355629854
1953,MLB,batting,30-32,21199.0,0.22218612109714814
1953,MLB,batting,33-35,9779.0,0.10249342319019819
1953,MLB,batting,36+,4508.0,0.04724822085503768
1954,MLB,batting,<=23,10903.0,0.11412451850611288
1954,MLB,batting,24-26,23234.0,0.24319628202981075
1954,MLB,batting,27-29,29083.0,0.3044192765030983
1954,MLB,batting,30-32,18240.0,0.19092279350192598
1954,MLB,batting,33-35,9935.0,0.10399221235973874
1954,MLB,batting,36+,4141.0,0.043344917099313346
1955,MLB,batting,<=23,8466.0,0.08909234411996843
1955,MLB,batting,24-26,23939.0,0.25192317811102344
1955,MLB,batting,27-29,28553.0,0.30047882136279924
1955,MLB,batting,30-32,19600.0,0.20626151012891344
1955,MLB,batting,33-35,9648.0,0.10153117600631413
1955,MLB,batting,36+,4819.0,0.050712970270981324
1956,MLB,batting,<=23,10487.0,0.11012170406695299
1956,MLB,batting,24-26,23419.0,0.24591782087765537
1956,MLB,batting,27-29,26683.0,0.2801923743318877
1956,MLB,batting,30-32,19527.0,0.20504877613382197
1956,MLB,batting,33-35,10414.0,0.1093551469584484
1956,MLB,batting,36+,4701.0,0.049364177631233526
1957,MLB,batting,<=23,9916.0,0.10395655546935609
1957,MLB,batting,24-26,22288.0,0.23366112427400249
1957,MLB,batting,27-29,26835.0,0.2813305935881576
1957,MLB,batting,30-32,20725.0,0.21727507181347366
1957,MLB,batting,33-35,10066.0,0.10552911328706518
1957,MLB,batting,36+,5556.0,0.05824754156794498
1958,MLB,batting,<=23,10598.0,0.11257342553349692
1958,MLB,batting,24-26,22009.0,0.23378264979871047
1958,MLB,batting,27-29,25640.0,0.2723516352782469
1958,MLB,batting,30-32,21421.0,0.2275368322658084
1958,MLB,batting,33-35,8730.0,0.09273127051400529
1958,MLB,batting,36+,5745.0,0.061024186609732
1959,MLB,batting,<=23,9222.0,0.09736372562475586
1959,MLB,batting,24-26,21632.0,0.22838561187537612
1959,MLB,batting,27-29,27360.0,0.288860500226992
