retroID,mlbam
cheeh101,112227
,458112
,703555
mclab103,118791
,667252
,641466
,800010
gonss001,624427
,438706
,687770
,531278
,822491
,836033
,440591
collo102,112497
,438825
,694988
,556197
,658267
,499708
,456683
,458893
,533313
,456349
,458253
,699436
,534074
,695841
,688560
,808076
carmc101,112014
grieb001,115132
,567575
bradk001,680694
,682952
,462267
mcdaf101,818244
,555357
,518584
,805040
,529491
,657239
,696045
,831711
gooda101,114954
,807404
,454335
,802700
,566808
,452932
wallj001,123862
,545770
devlj101,113315
,800736
,559102
,437850
,607905
wendh902,427537
,442697
,595131
,436725
,503422
pereg101,120409
,825639
browc103,111538
,502090
,438750
,568961
winng101,124457
,811140
narrj001,119655
greyr101,115127
,572835
walsj104,123883
,621411
,488814
bankf101,820606
,469929
,592583
,440915
,562450
,833503
,471913
,805388
,682205
,807575
,815900
,691574
,467121
,545493
,821836
chilp101,112244
,657261
,656613
,802957
,687525
,559532
,683494
cabro002,665828
humpm001,116310
,680605
,471446
,689318
agosj001,110088
oleat001,119975
,814559
goldf102,
,656540
,686170
younr102,124713
wrigz102,816459
,446497
,461352
,515188
,680845
,470824
,692233
,503074
,608667
,802342
,807205
,681462
,665382
,650380
,448457
,641429
sommp101,122532
stidp001,122790
,467334
,560470
,800124
,474819
,446198
,810899
,605487
,667279
,543955
roben001,425146
,678415
cowgc001,518577
,473783
,451434
,562449
,468319
diazt801,447980
,822028
,670630
,680835
ormec101,817918
,451398
,562620
roycg701,541663
,698931
,556687
,684598
,572170
,828671
,545387
,669661
,693598
,832086
,656829
lyncd101,118033
wrigg103,124593
,813976
,557873
,624220
,818433
bonnb001,111201
,682218
,679230
,818181
,628699
,642475
,554252
,607175
,819625
,451806
,440128
,676411
,667825
,518667
,467828
zacht901,
,809824
,442899
,464173
,446750
,641549
,543526
,689027
,642070
boltc102,111181
,456461
,679807
,578569
,464606
,819162
krauj101,117295
,440135
,825920
,442820
,625509
,684179
,807272
,657034
,459304
,441641
,650554
,688350
,650906
,660619
,446126
tsuty001,660294
schnj101,121847
,490998
lopea102,117914
,565031
,836005
,623171
,819475
,663808
,441909
,445819
,702531
,463947
dalep101,113009
,448210
,671280
,451407
,688135
,823818
,569624
,437557
david002,150277
,450788
,436874
,496068
,469696
hardl103,115458
,680436
,803849
,676758
herrj101,115855
,533219
,690180
,833439
,809679
,455965
,679004
,441265
,467145
,565097
adams102,110066
,830626
,656431
,444304
schrp102,121865
,475968
waltb101,123891
,449623
,444580
,650497
bendc101,110850
,608779
,531565
,456235
,444533
,450388
fultb001,114489
,469650
,518477
,645570
vielj801,643585
,831543
,455995
,595035
,642383
,806626
,593732
,641044
,650541
,821626
,451578
actog001,670183
,562164
downs001,275933
,816950
,680819
,443004
,686199
,811686
,669333
buenj001,502055
robec002,452075
spanb101,122561
,571692
,443131
,696140
mcgrm101,118732
,808251
clacb101,112303
,443121
,516537
grasm101,115052
,443358
,701730
,458719
,447880
,460600
,683544
,703715
,471188
cregp101,112818
,563209
,670155
,519201
,465311
,454913
bowij001,111295
,503441
,676095
,558498
barnb002,488681
,692479
,453417
,474034
,692026
mcivo101,118759
,488972
,437226
,443533
,675253
,686122
,676575
,669039
,570647
,439952
boucm101,111271
,644662
,438011
,607180
,649132
hayev001,115646
,452469
,475671
,806030
,691559
,821878
wallr101,123869
goarj101,114878
,489558
,822111
landr001,117450
,622469
,499868
,606151
,593376
,467480
,801596
,617178
,475905
,567272
,557488
,596823
,474869
,447436
,700344
,532327
alfaj001,430898
,444282
,444131
,446288
,457534
,822828
,816298
,467126
,664144
pered001,120406
weavr101,124010
,692823
,439337
,831271
eiscj001,113784
,458532
,501656
,700165
,687184
,818074
,606242
clemb901,
,446773
,443763
irwiw101,116410
,439511
,689596
,443580
,825760
tisij101,123361
,690194
,702755
,830965
mullj101,119499
,806264
,613568
wittb002,677951
,439814
,437664
dunbv101,819692
,606269
,694793
vavrj801,492705
lowrj001,476704
graym101,115069
,683575
,695637
,678652
davij105,113092
,440014
,808837
,562018
langd102,117470
,623408
counc001,112736
,607313
,442649
,804042
boted002,623520
,811162
,458366
,806282
dozid001,113536
,444973
,657687
,693711
,687590
,477458
claip001,502011
,437527
,500753
,546093
,827500
,673958
,566705
,436282
,503034
,559408
,806281
,502283
,469911
,694500
,449922
murrt101,119577
rodrj008,679563
,816999
,808268
,451744
,804651
,542522
,442735
,665994
,529797
willc101,124292
,830715
herso001,115861
,555239
,556979
,467178
,469253
,437553
hrinw101,116244
,804000
mcnag102,118849
,543943
,623192
,641697
,702956
mercm101,118965
,804756
,701411
,664110
,687553
,653980
,567528
,443641
,703075
,445500
,517432
,440746
,460106
wildj901,
,689070
,461450
turns003,605513
debuj801,435359
,609413
,449833
,503562
squim001,122628
,488974
,445653
,805967
,446661
stegd001,122716
,828702
,556083
,826466
,456747
,451833
carrl101,112029
,643220
pedra001,120349
shepr101,122124
dennr001,572810
,441149
,600883
,692702
,475009
,559212
,800725
,543914
,572819
maddf101,118108
bartb101,110648
,671968
,542520
,694426
,501526
,445495
riddd101,121191
,626562
johnn001,276376
,835068
dillp102,113372
,814340
,681505
,439870
,446162
,657542
dankj002,458668
,499832
,492472
,471428
,814136
sches901,521889
,564902
kelsb101,116965
,657504
,680421
,681596
,683383
sprig101,122615
,699808
,688904
martj102,118385
,556998
,557981
,534587
winkj002,608385
,829938
,809649
,457047
,642651
zannd101,124742
tennu101,817004
,566723
,690819
,664781
,817366
,440578
melik001,448590
keagg001,116871
adamm002,571431
grosg002,408212
piccu101,817743
,566106
,695700
,621485
,800677
,687280
,564003
,821759
pricd001,456034
zaucn101,124747
,804696
,824997
washj101,816716
,530698
,694680
,530510
,821354
lopeh101,117918
,809856
,444478
daviw103,113145
gutir001,115263
,446674
,455863
,542542
,441399
,446570
,542541
,440238
,471604
ellir801,457870
,830381
,592642
davib106,113097
woodc001,218595
,541646
helft101,115726
,518390
,566281
,519136
,835220
,678081
murpd002,119551
,581387
tylek001,667725
maveb701,501169
,567633
,642000
harrb114,115542
trayk701,655676
,441631
,522548
,656116
,830470
,668213
,832182
stinu101,817083
,802531
,692133
,827369
,454666
,528656
,439505
,439745
wisdp001,621550
,560362
,683277
,473601
hudsk001,543340
