year,lgID,G,R,HR,BB,SO,R_per_G,HR_per_G,BB_per_G,SO_per_G,season,run_env
1948,AL,1236,5841,710,5230,4304.0,4.725728155339806,0.5744336569579288,4.231391585760518,3.482200647249191,1948,4.725728155339806
1948,NL,1238,5487,845,4406,4729.0,4.4321486268174475,0.6825525040387722,3.5589660743134086,3.8198707592891763,1948,4.4321486268174475
1949,AL,1236,5776,769,5627,4369.0,4.673139158576052,0.622168284789644,4.552588996763754,3.534789644012945,1949,4.673139158576052
1949,NL,1244,5650,935,4405,4587.0,4.541800643086817,0.7516077170418006,3.5409967845659165,3.687299035369775,1949,4.541800643086817
1950,AL,1240,6253,973,5418,4558.0,5.042741935483871,0.7846774193548387,4.369354838709677,3.675806451612903,1950,5.042741935483871
1950,NL,1236,5760,1100,4537,5007.0,4.660194174757281,0.889967637540453,3.6707119741100325,4.050970873786408,1950,4.660194174757281
1951,AL,1234,5716,839,4889,4595.0,4.632090761750405,0.679902755267423,3.961912479740681,3.7236628849270663,1951,4.632090761750405
1951,NL,1244,5552,1024,4362,4746.0,4.463022508038585,0.8231511254019293,3.5064308681672025,3.815112540192926,1951,4.463022508038585
1952,AL,1242,5191,794,4631,5154.0,4.179549114331723,0.6392914653784219,3.7286634460547505,4.14975845410628,1952,4.179549114331723
1952,NL,1236,5158,907,4147,5240.0,4.173139158576052,0.7338187702265372,3.355177993527508,4.239482200647249,1952,4.173139158576052
1953,AL,1236,5512,879,4469,4911.0,4.459546925566343,0.7111650485436893,3.615695792880259,3.9733009708737863,1953,4.459546925566343
1953,NL,1244,5914,1197,4220,5307.0,4.754019292604502,0.9622186495176849,3.392282958199357,4.266077170418006,1953,4.754019292604502
1954,AL,1242,5203,823,4619,5129.0,4.189210950080516,0.6626409017713365,3.719001610305958,4.12962962962963,1954,4.189210950080516
1954,NL,1232,5624,1114,4414,5086.0,4.564935064935065,0.9042207792207793,3.582792207792208,4.128246753246753,1954,4.564935064935065
1955,AL,1236,5491,961,4808,5405.0,4.442556634304207,0.7775080906148867,3.8899676375404533,4.372977346278317,1955,4.442556634304207
1955,NL,1232,5578,1263,4240,5419.0,4.527597402597403,1.0251623376623376,3.4415584415584415,4.398538961038961,1955,4.527597402597403
1956,AL,1236,5756,1075,5019,5813.0,4.656957928802589,0.8697411003236246,4.060679611650485,4.703074433656958,1956,4.656957928802589
1956,NL,1242,5275,1219,3982,5694.0,4.247181964573269,0.9814814814814815,3.206119162640902,4.584541062801932,1956,4.247181964573269
1957,AL,1232,5210,1024,4309,5814.0,4.228896103896104,0.8311688311688312,3.497564935064935,4.7191558441558445,1957,4.228896103896104
1957,NL,1238,5426,1178,3866,6150.0,4.382875605815832,0.9515347334410339,3.122778675282714,4.967689822294022,1957,4.382875605815832
1958,AL,1238,5159,1057,4062,6037.0,4.167205169628433,0.8537964458804523,3.2810985460420032,4.876413570274637,1958,4.167205169628433
1958,NL,1232,5419,1183,4065,6192.0,4.398538961038961,0.9602272727272727,3.299512987012987,5.025974025974026,1958,4.398538961038961
1959,AL,1236,5391,1091,4210,6081.0,4.361650485436893,0.8826860841423948,3.4061488673139158,4.919902912621359,1959,4.361650485436893
1959,NL,1240,5462,1159,3974,6525.0,4.40483870967742,0.9346774193548387,3.2048387096774196,5.262096774193548,1959,4.40483870967742
1960,AL,1234,5414,1086,4447,5993.0,4.387358184764992,0.880064829821718,3.6037277147487843,4.856564019448946,1960,4.387358184764992
1960,NL,1238,5250,1042,3937,6824.0,4.240710823909532,0.8416801292407108,3.1801292407108237,5.512116316639742,1960,4.240710823909532
1961,AL,1622,7342,1534,5902,8330.0,4.526510480887793,0.9457459926017263,3.6387176325524044,5.135635018495685,1961,4.526510480887793
1961,NL,1238,5600,1196,3995,6622.0,4.523424878836834,0.9660743134087237,3.226978998384491,5.348949919224555,1961,4.523424878836834
1962,AL,1618,7183,1552,5671,8535.0,4.439431396786156,0.9592088998763906,3.504944375772559,5.275030902348578,1962,4.439431396786156
1962,NL,1624,7278,1449,5265,9032.0,4.481527093596059,0.8922413793103449,3.2419950738916254,5.561576354679803,1962,4.481527093596059
1963,AL,1616,6599,1489,5031,9228.0,4.083539603960396,0.9214108910891089,3.1132425742574257,5.71039603960396,1963,4.083539603960396
1963,NL,1622,6181,1215,4560,9545.0,3.810727496917386,0.749075215782984,2.81134401972873,5.884710234278669,1963,3.810727496917386
1964,AL,1628,6607,1551,5227,9956.0,4.058353808353808,0.9527027027027027,3.210687960687961,6.115479115479116,1964,4.058353808353808
1964,NL,1624,6517,1211,4394,9256.0,4.012931034482759,0.7456896551724138,2.705665024630542,5.699507389162561,1964,4.012931034482759
1965,AL,1620,6388,1370,5306,9634.0,3.94320987654321,0.845679012345679,3.275308641975309,5.946913580246914,1965,3.94320987654321
1965,NL,1626,6558,1318,4730,9649.0,4.033210332103321,0.8105781057810578,2.908979089790898,5.934194341943419,1965,4.033210332103321
1966,AL,1612,6276,1365,4927,9493.0,3.893300248138958,0.8467741935483871,3.056451612903226,5.888957816377172,1966,3.893300248138958
1966,NL,1618,6624,1378,4404,9312.0,4.093943139678616,0.8516687268232386,2.7218788627935724,5.7552533992583434,1966,4.093943139678616
1967,AL,1620,5992,1197,4993,9945.0,3.6987654320987655,0.7388888888888889,3.082098765432099,6.138888888888889,1967,3.6987654320987655
1967,NL,1620,6218,1102,4672,9468.0,3.8382716049382717,0.6802469135802469,2.8839506172839506,5.844444444444444,1967,3.8382716049382717
1968,AL,1624,5532,1104,4881,9641.0,3.4064039408866993,0.6798029556650246,3.0055418719211824,5.936576354679803,1968,3.4064039408866993
1968,NL,1626,5577,891,4275,9502.0,3.4298892988929888,0.5479704797047971,2.629151291512915,5.8437884378843785,1968,3.4298892988929888
