year,role,mlbam,player_name,pitch_type,pitches,usage_rate,zone_rate,whiff_rate,z_whiff_rate,o_whiff_rate,chase_rate,csw_rate,avg_spin,avg_ext,h_mov_in,v_mov_in,segment,edge_rate,heart_rate
2015,pit,150359,,FF,19,0.0042648709315375,0.3157894736842105,0.4285714285714285,0.0,1.0,0.2307692307692307,0.2105263157894736,2079.9444444444443,6.542105263157895,-6.555789473684211,11.545263157894738,behind,,
2015,pit,150359,,IN,2,0.0004489337822671,0.0,0.0,0.0,0.0,0.0,0.0,1883.0,5.15,-8.46,13.56,,,
2015,pit,150359,,IN,2,0.0004489337822671,0.0,0.0,0.0,0.0,0.0,0.0,1883.0,5.15,-8.46,13.56,behind,,
2015,pit,150359,,KC,129,0.0289562289562289,0.3565891472868217,0.3432835820895522,0.0588235294117647,0.6363636363636364,0.3975903614457831,0.2713178294573643,1998.798387096774,5.899218750000001,8.642790697674418,-9.000930232558138,,,
2015,pit,150359,,KC,52,0.011672278338945,0.2307692307692307,0.3928571428571428,0.0,0.6470588235294118,0.425,0.2307692307692307,1992.122448979592,5.964705882352941,8.351538461538462,-8.734615384615385,two_strike,,
2015,pit,150359,,KC,66,0.0148148148148148,0.3181818181818182,0.3333333333333333,0.0,0.5714285714285714,0.4666666666666667,0.2727272727272727,1959.819672131148,5.98,8.694545454545455,-8.992727272727272,ahead,,
2015,pit,150359,,KC,16,0.0035914702581369,0.375,0.4285714285714285,0.25,0.6666666666666666,0.3,0.25,2065.1875,5.887499999999999,8.835,-8.925,behind,,
2015,pit,150359,,PO,1,0.0002244668911335,0.0,0.0,0.0,0.0,0.0,0.0,1922.0,5.9,-3.6,12.12,,,
2015,pit,150359,,SI,195,0.0437710437710437,0.6153846153846154,0.0568181818181818,0.0384615384615384,0.2,0.1333333333333333,0.2717948717948718,1997.100529100529,6.552604166666666,-12.795076923076923,7.749538461538462,,,
2015,pit,150359,,SI,49,0.0109988776655443,0.6530612244897959,0.0333333333333333,0.0344827586206896,0.0,0.0588235294117647,0.1020408163265306,2007.8163265306123,6.557142857142857,-12.340408163265304,7.077551020408164,two_strike,,
2015,pit,150359,,SI,37,0.0083052749719416,0.5945945945945946,0.0526315789473684,0.0588235294117647,0.0,0.1333333333333333,0.1891891891891892,1999.6486486486488,6.600000000000001,-13.024864864864863,7.063783783783785,ahead,,
2015,pit,150359,,SI,71,0.0159371492704826,0.7183098591549296,0.027027027027027,0.0303030303030303,0.0,0.2,0.2957746478873239,2013.1617647058824,6.540579710144927,-12.447887323943664,7.88281690140845,behind,,
2015,pit,218596,,CU,32,0.0105575717584955,0.3125,0.1818181818181818,0.0,0.3333333333333333,0.2727272727272727,0.21875,2179.296296296296,5.228571428571428,13.3875,-7.657500000000001,,,
2015,pit,218596,,CU,9,0.0029693170570768,0.1111111111111111,0.4,0.0,0.5,0.5,0.2222222222222222,2146.5,5.216666666666668,15.133333333333333,-8.32,two_strike,,
2015,pit,218596,,CU,10,0.0032992411745298,0.2,0.25,0.0,0.3333333333333333,0.375,0.1,2149.0,5.255555555555556,12.444000000000004,-7.824000000000001,ahead,,
