year,mlbam,role,pitch_type,segment,vhb,pitches,Z_Pitches,O_Pitches,swings,Z_Swings,O_Swings,whiffs,Z_Whiffs,O_Whiffs,contacts,Z_Contacts,O_Contacts,called,Z_Called,edge,heart,chase,avg_spin,avg_ext,h_mov_in,v_mov_in,usage_rate,zone_rate,whiff_rate,z_whiff_rate,o_whiff_rate,z_swing_rate,o_swing_rate,z_contact_rate,o_contact_rate,csw_rate,z_csw_rate,edge_rate,heart_rate,chase_rate
2015,115629,pit,SL,two_strike,vsR,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,2014.0,5.9,0.02,0.45,0.009523809523809525,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2015,115629,pit,SL,,vsL,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,2122.0,6.2,0.43,0.75,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2015,115629,pit,SL,,vsR,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2185.0,6.1,0.020000000000000004,0.875,0.01904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015,150274,pit,SI,behind,vsR,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,2260.0,5.8,-1.37,0.8,0.25,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2015,150274,pit,SL,two_strike,vsR,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,2,2443.0,5.55,0.275,0.275,0.5,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0
2015,150274,pit,SL,,vsR,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,2476.0,5.3,0.46,0.3,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2015,150302,pit,CH,ahead,vsL,6,1,5,3,0,3,2,0,2,1,0,1,1,1,1,0,5,1098.8,6.1000000000000005,-1.02,0.36333333333333334,0.018018018018018018,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6,0.0,0.3333333333333333,0.5,1.0,0.16666666666666666,0.0,0.8333333333333334
2015,150302,pit,CH,ahead,vsR,4,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,2,1145.0,5.949999999999999,-0.7125,0.415,0.012012012012012012,0.5,0.6666666666666666,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.25,0.25,0.5
2015,150302,pit,CH,behind,vsL,5,2,3,2,1,1,1,1,0,1,0,1,0,0,2,0,3,1196.0,5.96,-1.174,0.254,0.015015015015015015,0.4,0.5,1.0,0.0,0.5,0.3333333333333333,0.0,1.0,0.2,0.5,0.4,0.0,0.6
2015,150302,pit,CH,behind,vsR,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1199.3333333333333,6.1000000000000005,-0.9133333333333334,0.3066666666666667,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0
