season,pitcher_id,from2,from1,to_pt,n,prob
2015.0,276351,FF,CH,FF,2,0.6666666666666666
2015.0,276351,SI,FF,SL,1,0.5
2015.0,276351,SI,SL,FF,1,0.25
2015.0,276351,SI,SL,CH,1,0.25
2015.0,276351,SI,SL,SL,1,0.25
2015.0,276351,SI,SL,SI,1,0.25
2015.0,276351,SI,SI,SI,1,0.5
2015.0,276351,CH,IN,FF,1,1.0
2015.0,276351,SI,FF,IN,1,0.5
2015.0,276351,SI,SI,SL,1,0.5
2015.0,276351,SL,CH,IN,1,0.5
2015.0,276351,SL,CH,SI,1,0.5
2015.0,276351,SL,SL,SI,1,0.14285714285714285
2015.0,276351,CH,FF,FF,1,0.5
2015.0,276351,CH,SI,SL,1,1.0
2015.0,276351,FF,CH,SL,1,0.3333333333333333
2015.0,276351,CH,FF,SL,1,0.5
2015.0,276351,FF,SI,FF,1,0.3333333333333333
2015.0,276351,FF,SI,SI,1,0.3333333333333333
2015.0,276351,FF,SI,IN,1,0.3333333333333333
2015.0,276351,CH,SL,FF,1,1.0
2015.0,276351,SL,FF,FF,1,0.125
2015.0,276351,SL,SI,IN,1,0.5
2015.0,276351,FF,SL,CH,1,0.125
2015.0,276351,SL,SI,FF,1,0.5
2015.0,276351,SL,FF,IN,1,0.125
2015.0,276514,FC,FF,FS,4,1.0
2015.0,276514,CU,FC,FF,4,0.6666666666666666
2015.0,276514,FF,FS,CU,3,0.5
2015.0,276514,FS,FF,FC,3,0.6
2015.0,276514,FF,FC,CU,3,1.0
2015.0,276514,FS,CU,FC,3,0.75
2015.0,276514,FF,FS,FF,2,0.3333333333333333
2015.0,276514,CU,FS,FF,2,0.6666666666666666
2015.0,276514,FC,CU,FC,2,0.4
2015.0,276514,FC,CU,FS,2,0.4
2015.0,276514,CU,FC,CU,2,0.3333333333333333
2015.0,276514,FF,FS,FC,1,0.16666666666666666
2015.0,276514,CU,FS,CU,1,0.3333333333333333
2015.0,276514,FC,CU,CU,1,0.2
2015.0,276514,FF,FF,FS,1,1.0
2015.0,276514,FS,FF,FS,1,0.2
2015.0,276514,FS,FF,FF,1,0.2
2015.0,276514,FS,CU,FS,1,0.25
2015.0,276514,CU,CU,FC,1,1.0
2015.0,276542,CH,FF,SI,10,0.5555555555555556
2015.0,276542,FF,SI,SL,9,0.9
2015.0,276542,SL,SI,FF,8,0.47058823529411764
2015.0,276542,SI,FF,CH,8,0.8888888888888888
2015.0,276542,FF,CH,CH,7,0.4117647058823529
2015.0,276542,FF,CH,FF,7,0.4117647058823529
2015.0,276542,SI,SL,SL,7,0.4666666666666667
2015.0,276542,SL,SL,SI,6,0.6666666666666666
2015.0,276542,SL,SI,SL,5,0.29411764705882354
2015.0,276542,CH,CH,FF,5,0.5555555555555556
2015.0,276542,FF,SL,SI,4,0.6666666666666666
2015.0,276542,SL,CH,FF,4,1.0
2015.0,276542,CH,FF,SL,4,0.2222222222222222
2015.0,276542,CH,FF,CH,4,0.2222222222222222
2015.0,276542,SL,FF,CH,3,0.75
2015.0,276542,SL,SI,IN,3,0.17647058823529413
2015.0,276542,SI,SL,FF,3,0.2
2015.0,276542,SI,SL,SI,3,0.2
2015.0,276542,IN,FF,CH,3,1.0
2015.0,276542,SI,IN,FF,3,1.0
2015.0,276542,IN,SL,SI,2,1.0
2015.0,276542,CH,SL,SI,2,0.6666666666666666
2015.0,276542,FF,CH,SL,2,0.11764705882352941
2015.0,276542,SI,SL,CH,2,0.13333333333333333
2015.0,276542,SI,CH,FF,2,0.6666666666666666
2015.0,276542,CH,CH,SI,2,0.2222222222222222
2015.0,276542,FF,SL,IN,1,0.16666666666666666
2015.0,276542,SL,SL,FF,1,0.1111111111111111
2015.0,276542,SL,SL,SL,1,0.1111111111111111
2015.0,276542,SL,SL,CH,1,0.1111111111111111
2015.0,276542,FF,SL,CH,1,0.16666666666666666
2015.0,276542,FF,FF,SL,1,1.0
2015.0,276542,FF,SI,CH,1,0.1
2015.0,276542,SL,FF,SL,1,0.25
2015.0,276542,SL,SI,CH,1,0.058823529411764705
2015.0,276542,CH,IN,SL,1,1.0
2015.0,276542,CH,SL,SL,1,0.3333333333333333
2015.0,276542,SL,IN,SL,1,1.0
2015.0,276542,FF,CH,SI,1,0.058823529411764705
2015.0,276542,SI,CH,SL,1,0.3333333333333333
2015.0,276542,CH,SI,CH,1,0.3333333333333333
2015.0,276542,CH,SI,SL,1,0.3333333333333333
2015.0,276542,CH,SI,FF,1,0.3333333333333333
2015.0,276542,SI,FF,FF,1,0.1111111111111111
2015.0,276542,CH,CH,CH,1,0.1111111111111111
2015.0,276542,CH,CH,IN,1,0.1111111111111111
2015.0,279571,FF,CU,CH,10,1.0
2015.0,279571,CH,CU,FF,7,0.875
2015.0,279571,CH,SL,SI,5,1.0
2015.0,279571,CU,CH,SL,5,0.4166666666666667
2015.0,279571,SL,SI,PO,5,0.5
2015.0,279571,PO,IN,FF,4,0.8
2015.0,279571,SI,PO,IN,4,0.6666666666666666
2015.0,279571,CU,FF,SL,4,0.4
2015.0,279571,CU,FF,SI,4,0.4
2015.0,279571,SL,CH,CU,4,1.0
2015.0,279571,IN,FF,CU,4,0.8
2015.0,279571,FF,SI,SL,4,0.6666666666666666
2015.0,279571,SI,FF,CU,4,1.0
2015.0,279571,SI,SL,FF,3,0.3333333333333333
2015.0,279571,FF,IN,PO,3,1.0
2015.0,279571,SL,SI,FF,3,0.3
2015.0,279571,CU,CU,FF,2,1.0
2015.0,279571,FF,SL,CH,2,0.5
2015.0,279571,CU,CH,CU,2,0.16666666666666666
2015.0,279571,CU,CH,FF,2,0.16666666666666666
2015.0,279571,IN,SL,SI,2,1.0
2015.0,279571,IN,PO,SI,2,0.6666666666666666
2015.0,279571,CU,FF,IN,2,0.2
2015.0,279571,SI,SL,CU,2,0.2222222222222222
2015.0,279571,SL,SL,SI,2,0.6666666666666666
2015.0,279571,PO,SI,SL,2,1.0
2015.0,279571,SL,FF,CU,2,0.6666666666666666
2015.0,279571,SL,SI,SL,2,0.2
2015.0,279571,SL,CU,CU,1,0.3333333333333333
2015.0,279571,CH,FF,IN,1,0.5
2015.0,279571,CH,FF,CH,1,0.5
2015.0,279571,CH,SI,FF,1,1.0
2015.0,279571,PO,IN,SL,1,0.2
2015.0,279571,SI,CU,CH,1,1.0
2015.0,279571,SL,CU,SI,1,0.3333333333333333
2015.0,279571,SL,CU,CH,1,0.3333333333333333
2015.0,279571,SI,SL,IN,1,0.1111111111111111
2015.0,279571,FF,SL,PO,1,0.25
2015.0,279571,FF,SL,SL,1,0.25
2015.0,279571,CU,CH,IN,1,0.08333333333333333
2015.0,279571,CH,CU,CU,1,0.125
2015.0,279571,SI,PO,CU,1,0.16666666666666666
2015.0,279571,PO,CU,FF,1,1.0
2015.0,279571,IN,PO,SL,1,0.3333333333333333
2015.0,279571,SI,PO,CH,1,0.16666666666666666
2015.0,279571,CU,CH,SI,1,0.08333333333333333
2015.0,279571,CU,CH,CH,1,0.08333333333333333
2015.0,279571,SI,SL,CH,1,0.1111111111111111
2015.0,279571,PO,SL,SL,1,1.0
2015.0,279571,SL,SL,CH,1,0.3333333333333333
2015.0,279571,SL,PO,IN,1,1.0
2015.0,279571,SI,SL,SI,1,0.1111111111111111
2015.0,279571,SI,SL,SL,1,0.1111111111111111
2015.0,279571,CU,SI,SL,1,1.0
2015.0,279571,CH,IN,FF,1,1.0
2015.0,279571,FF,CH,FF,1,1.0
2015.0,279571,FF,SI,PO,1,0.16666666666666666
2015.0,279571,SL,IN,SL,1,1.0
2015.0,279571,IN,FF,SI,1,0.2
2015.0,279571,CH,CH,CU,1,0.5
2015.0,279571,CH,CH,CH,1,0.5
2015.0,279571,FF,SI,CU,1,0.16666666666666666
2015.0,279571,SL,FF,SI,1,0.3333333333333333
2015.0,279571,PO,CH,CU,1,1.0
2015.0,279824,CH,CU,FC,15,0.75
2015.0,279824,CU,FC,FF,11,0.6111111111111112
2015.0,279824,FC,CU,CH,10,1.0
2015.0,279824,SI,CH,CU,10,0.9090909090909091
2015.0,279824,FF,FC,CU,9,0.75
2015.0,279824,FC,FF,SI,8,0.5714285714285714
2015.0,279824,FF,IN,SI,7,0.875
2015.0,279824,SI,FF,FC,6,0.75
2015.0,279824,FC,FF,IN,6,0.42857142857142855
2015.0,279824,SI,IN,FF,5,0.8333333333333334
2015.0,279824,IN,FF,FC,5,0.7142857142857143
2015.0,279824,CU,CH,CU,5,0.35714285714285715
2015.0,279824,FF,SI,CH,4,0.36363636363636365
2015.0,279824,IN,SI,CH,4,0.5714285714285714
2015.0,279824,CU,CH,FF,4,0.2857142857142857
2015.0,279824,CH,FF,SI,3,0.6
2015.0,279824,CU,FC,SI,3,0.16666666666666666
2015.0,279824,CH,CU,SI,3,0.15
2015.0,279824,FC,SI,FF,3,0.5
