season,pitcher_id,dominant_pitch,dominant_usage,usage_entropy,repeat_rate
2025,657757,CH,0.11290322580645161,2.4797076717021445,0.0
2025,663559,CU,0.25925925925925924,1.5991654107425068,0.19230769230769232
2025,665833,CH,0.11290322580645161,2.4797076717021445,0.06557377049180328
2025,665923,CH,0.16666666666666666,2.0721529997457324,0.07317073170731707
2025,665926,CH,0.1346153846153846,2.2965114666021638,0.0784313725490196
2025,666157,CH,0.3181818181818182,1.3745451929083752,0.23809523809523808
2025,666160,CH,0.12280701754385964,2.3922922035346867,0.03571428571428571
2025,666168,CH,0.25925925925925924,1.5991654107425068,0.19230769230769232
2025,666464,CH,0.12280701754385964,2.3922922035346867,0.05357142857142857
2025,666915,CH,0.14893617021276595,2.190596802970671,0.043478260869565216
2025,666971,CH,0.1044776119402985,2.5601008911904697,0.015151515151515152
2025,666974,CH,0.21875,1.7826946886047361,0.0967741935483871
2025,667356,CU,0.3181818181818182,1.374545192908375,0.09523809523809523
2025,668390,CU,0.21875,1.782694688604736,0.03225806451612903
2025,668731,CH,0.14893617021276595,2.190596802970671,0.15217391304347827
2025,669003,CH,0.12280701754385964,2.3922922035346867,0.07142857142857142
2025,669084,CH,0.21875,1.782694688604736,0.25806451612903225
2025,669276,CH,0.4117647058823529,1.0852280400722045,0.3125
2025,669357,CH,0.11290322580645161,2.4797076717021445,0.03278688524590164
2025,669923,CH,0.21875,1.782694688604736,0.1935483870967742
